CustomerID,cluster,Customer_Segment,Days_Since_Last_Purchase,Total_Transactions,Total_Spend,Recommendation,Rec1_Description,Rec2_Description,Rec3_Description
12483.0,0,Best Customers,17,11,1873.13,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12484.0,0,Best Customers,35,6,3892.87,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12490.0,0,Best Customers,5,10,4859.93,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12494.0,0,Best Customers,9,13,995.35,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12500.0,0,Best Customers,23,12,4023.27,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12517.0,0,Best Customers,28,5,2263.65,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12520.0,0,Best Customers,79,6,2294.5099999999998,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12523.0,0,Best Customers,1,13,1655.57,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12524.0,0,Best Customers,9,8,3945.72,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12553.0,0,Best Customers,8,14,3238.25,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,ASSORTED COLOUR BIRD ORNAMENT,SMALL CHINESE STYLE SCISSOR
12560.0,0,Best Customers,5,3,1885.39,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12562.0,0,Best Customers,8,7,3385.7400000000002,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12569.0,0,Best Customers,2,33,3128.9900000000002,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12578.0,0,Best Customers,21,4,2361.36,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12583.0,0,Best Customers,2,17,6629.34,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12584.0,0,Best Customers,3,18,1809.95,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12585.0,0,Best Customers,234,4,1766.81,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,SMALL CHINESE STYLE SCISSOR
12597.0,0,Best Customers,19,5,3067.13,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12598.0,0,Best Customers,9,8,2786.68,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12610.0,0,Best Customers,22,6,1705.99,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12613.0,0,Best Customers,31,5,2966.98,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12619.0,0,Best Customers,16,11,2908.81,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12625.0,0,Best Customers,211,3,2362.32,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12627.0,0,Best Customers,10,6,4082.53,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12633.0,0,Best Customers,58,5,1906.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12637.0,0,Best Customers,67,9,5790.25,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12647.0,0,Best Customers,22,13,3093.92,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12653.0,0,Best Customers,148,2,2209.85,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12656.0,0,Best Customers,17,8,3550.72,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12662.0,0,Best Customers,0,12,3511.08,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12664.0,0,Best Customers,8,9,4391.88,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12668.0,0,Best Customers,7,6,3113.18,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12670.0,0,Best Customers,10,6,2734.15,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12674.0,0,Best Customers,11,7,1796.26,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12679.0,0,Best Customers,52,9,896.67,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12685.0,0,Best Customers,28,6,2575.08,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12712.0,0,Best Customers,22,17,3791.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12721.0,0,Best Customers,31,7,2358.98,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12726.0,0,Best Customers,28,7,2411.1,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12727.0,0,Best Customers,10,8,3425.7,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12747.0,0,Best Customers,2,11,4196.01,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,SMALL CHINESE STYLE SCISSOR
12749.0,0,Best Customers,3,8,3818.2,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12757.0,0,Best Customers,15,10,4161.75,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT,SMALL CHINESE STYLE SCISSOR
12766.0,0,Best Customers,3,7,6457.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12779.0,0,Best Customers,21,12,3868.7,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12839.0,0,Best Customers,2,15,5588.12,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12840.0,0,Best Customers,143,6,2714.27,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12841.0,0,Best Customers,4,26,3845.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12853.0,0,Best Customers,107,9,1881.7,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12856.0,0,Best Customers,7,8,2153.53,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12867.0,0,Best Customers,26,10,3962.99,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,SMALL CHINESE STYLE SCISSOR
12876.0,0,Best Customers,57,2,2053.02,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12906.0,0,Best Customers,11,5,2919.81,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,SMALL CHINESE STYLE SCISSOR
12909.0,0,Best Customers,39,8,2128.83,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12910.0,0,Best Customers,23,8,3075.04,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12913.0,0,Best Customers,4,5,2453.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,SMALL CHINESE STYLE SCISSOR
12947.0,0,Best Customers,143,11,1407.29,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12948.0,0,Best Customers,16,8,2053.7,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12949.0,0,Best Customers,30,10,4143.02,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12950.0,0,Best Customers,2,3,1843.0,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
12955.0,0,Best Customers,1,14,4734.26,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,SMALL CHINESE STYLE SCISSOR
12957.0,0,Best Customers,4,12,3979.04,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12967.0,0,Best Customers,3,4,1194.75,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12980.0,0,Best Customers,155,12,7092.06,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
12989.0,0,Best Customers,3,19,6854.51,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
12997.0,0,Best Customers,22,7,1197.94,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13001.0,0,Best Customers,4,15,9765.07,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,SMALL CHINESE STYLE SCISSOR
13004.0,0,Best Customers,11,22,5613.43,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13012.0,0,Best Customers,9,10,1301.72,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13013.0,0,Best Customers,1,15,4786.99,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13014.0,0,Best Customers,2,16,3365.43,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13015.0,0,Best Customers,53,5,3339.64,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13018.0,0,Best Customers,16,29,7272.75,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13021.0,0,Best Customers,4,12,2584.4,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13047.0,0,Best Customers,46,16,3089.1,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13069.0,0,Best Customers,0,27,3713.14,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,SMALL CHINESE STYLE SCISSOR
13082.0,0,Best Customers,126,10,3595.48,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13090.0,0,Best Customers,8,17,8674.39,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13094.0,0,Best Customers,21,16,1708.8600000000001,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13097.0,0,Best Customers,32,14,5901.07,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13102.0,0,Best Customers,1,27,6336.29,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
13124.0,0,Best Customers,89,3,3756.33,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13126.0,0,Best Customers,4,10,2056.29,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13134.0,0,Best Customers,72,7,1740.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13136.0,0,Best Customers,50,11,2545.38,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13137.0,0,Best Customers,10,8,3603.29,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,SMALL CHINESE STYLE SCISSOR,WHITE HANGING HEART T-LIGHT HOLDER
13139.0,0,Best Customers,16,8,5055.79,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,ASSORTED COLOUR BIRD ORNAMENT,SMALL CHINESE STYLE SCISSOR
13141.0,0,Best Customers,84,6,2385.8,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,SMALL CHINESE STYLE SCISSOR
13148.0,0,Best Customers,29,17,3324.62,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,SMALL CHINESE STYLE SCISSOR
13151.0,0,Best Customers,203,2,1250.3700000000001,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13159.0,0,Best Customers,8,5,1371.25,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13174.0,0,Best Customers,16,3,2738.82,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13178.0,0,Best Customers,26,11,5725.47,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13184.0,0,Best Customers,14,12,1615.45,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
13186.0,0,Best Customers,39,5,1539.69,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13198.0,0,Best Customers,10,8,3384.09,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,ASSORTED COLOUR BIRD ORNAMENT,SMALL CHINESE STYLE SCISSOR
13199.0,0,Best Customers,3,38,9788.96,Offer loyalty rewards and early access to new products,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
13209.0,0,Best Customers,30,11,5820.16,Offer loyalty rewards and early access to new products,ASSORTED COLOUR BIRD ORNAMENT,SMALL CHINESE STYLE SCISSOR,VICTORIAN GLASS HANGING T-LIGHT
13224.0,0,Best Customers,60,3,2147.85,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,SMALL CHINESE STYLE SCISSOR,VICTORIAN GLASS HANGING T-LIGHT
13225.0,0,Best Customers,3,8,6083.04,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13230.0,0,Best Customers,4,15,2712.07,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13246.0,0,Best Customers,18,7,1896.32,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13266.0,0,Best Customers,11,19,3717.67,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13268.0,0,Best Customers,17,14,3105.66,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,JUMBO BAG RED RETROSPOT,ASSORTED COLOUR BIRD ORNAMENT
13269.0,0,Best Customers,1,17,5312.97,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13285.0,0,Best Customers,23,4,2709.12,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
13310.0,0,Best Customers,8,6,1083.63,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13316.0,0,Best Customers,37,4,5732.93,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13317.0,0,Best Customers,64,9,2140.07,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13320.0,0,Best Customers,70,6,1475.2,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13324.0,0,Best Customers,32,12,7072.8,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,JUMBO BAG RED RETROSPOT
13327.0,0,Best Customers,38,9,3617.57,Offer loyalty rewards and early access to new products,PACK OF 12 LONDON TISSUES ,WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT
